,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
Age,0.04482625034854826,0.06192888892229402,0.0319540197884916,0.01985759771045485,0.03411809308920544,0.08547954735946942,-0.03104548537160109,0.05417633832553196,0.06530676613343056,0.19017266532838809,-0.007822631824494608,0.14853274248845683,0.08627433574195573,-0.02787138563014687,-0.15510498617233287,0.004534192539906309,0.04214326017564745,0.0025337050197149083,0.04758663358195501,-0.05439418815073521,0.00275588978486558,-0.057679158340467176,0.04840652973152414,0.06650653852542943,-0.16203960240774307,0.020009727863207476,0.107822629199501,0.09657826679038857,-0.023884371564316383,-0.08530237554776958,-0.033868708796672635,-0.07131598034091385,0.0186787766578863,-0.013446099104734396,-0.018734809262138795,0.10985702606721436,0.011378870356979796,-0.006223921468432178
Sex,-0.036166813989468964,-0.08624229395776636,0.09005872969650597,0.09694239545185625,-0.06835241604178699,-0.03453716509922845,-0.0012671369934806936,0.09619334047875644,-0.02943136487911952,0.05601254125512346,0.02825762281768668,0.038611199563137584,-0.057925856639117,0.05203650133635236,-0.05239544491127946,0.06135745273278655,-0.06464681337418794,0.000947873091979289,0.005613996133430297,-0.006443695631992699,-0.012564220254509212,-0.058225707838658575,0.09038347890614877,0.04490106408241888,-0.05911979563933597,0.1058576254004555,0.011171378769682182,-0.19894097292010035,-0.06120439618790994,-0.09585293069369069,-0.03349024130304871,0.06383442816309554,-0.02223269683925559,-0.14151580455235646,0.05498374278825351,-0.03925353557253442,0.03950990489567074,-0.061301062156486674
FH01,-0.06135423623105963,0.048310666605086386,0.0014986273661427196,0.005509948401954636,-0.00707783200086321,0.07679485791311477,-0.04630560682916014,0.08905731032648975,0.04573134479817421,-0.0022686759125414508,-0.07228518445247868,0.012277069333030136,-0.07614418375266613,0.01078919967989851,0.11796871641620409,-0.05599067809428607,0.08002122293717198,0.18164932634835096,-0.03711932786530452,0.16293607134883972,-0.06393960188419713,-0.04631845488808577,0.04611043785130762,0.11372798590447113,-0.18580837408736972,0.06385006821934072,0.0343029295055189,0.12007796735815429,0.013864956760898111,0.0776532904933913,0.023955721510639728,-0.005316722357910658,0.06299435194127986,-0.032752645561346244,-0.037767452137136476,0.1960485057278691,0.034852925395101174,-0.09830525439080284
FH02,-0.00440891388840796,-0.029255419285228835,0.029256785762700174,0.1025558027280916,0.11880575978452251,-0.03964470465574522,-0.04213209843291472,0.03652961247538126,0.042646197498707114,-0.04543979558348286,0.014527674201126507,-0.04054011164507843,-0.09471842325606385,0.057129352009863646,-0.13409065954396251,0.043289008337305715,0.12447792984009723,0.14508017129367937,-0.11084618086200351,-0.016578891336418405,0.06249029713597734,0.15594250381751237,-0.020265744150065317,-0.010897709815541924,0.09962331040087156,-0.15496829388560726,0.033586437133736075,-0.05999186082383961,0.08913054313918997,-0.10172030749956475,0.015093746246917979,-0.03295089725605509,-0.043704020149509845,0.000781723254817186,-0.13658267092210263,0.0520931409532825,0.02793579880127135,0.050800220187034714
FH03,-0.05700092489289859,0.08060372244444539,0.0510171002480461,0.026177026366973444,-0.008614952876781825,0.03353660495669177,0.0645280760100769,0.06334965001313202,-0.0790587289828227,0.1605274433425737,-0.030177307802210618,0.05201411917126229,-0.0622548824329982,-0.07363437883763489,-0.03614988508695173,-0.04526503502141529,-0.05007198444693985,0.00317389685528902,0.10554977106013541,0.10286948669493269,0.003790024856369686,0.02679052116014122,-0.14562133269432345,-0.005031287518591617,0.10127989881313307,-0.0530090444161613,0.03277130857284772,-0.028764703159178864,0.07855175457247215,-0.012233059264962366,-0.1301415761891962,0.15367576742602962,0.10151175253223442,-0.10294061328049782,-0.03241110246390459,0.015737048761780226,-0.028584934862366733,-0.08874583947377508
FH04,-0.06955242961522846,0.06074625731562361,0.05205990974444959,0.014582238924649533,0.0989809300475394,-0.04527851470547757,-0.040684096826513624,0.04586485913388848,0.045923321228475686,0.07911886355779321,-0.09474556769365192,-0.026822785520020292,-0.06474355222521254,-0.005551158068129123,0.008482823674031675,-0.02820512014357644,-0.007985939956599715,0.006334468466092651,0.031272381409625044,-0.06232602309282915,0.00869842441168992,0.11567941600963805,-0.20283079917514907,-0.04826491047224328,0.010900878060574902,-0.06771513431118208,0.029746038371403764,-0.13305481381447828,0.11396852028560767,0.020472312643519074,-0.14969694285467988,-0.10400598306796914,0.10412265931848613,0.06882973181680957,-0.02949760455622268,0.16657758298902073,-0.06422136785636513,0.09234281704233625
FH05,0.027433275238298697,0.09752116313518923,0.005125590475256423,-0.04815358081688386,-0.05077455300320663,0.09531241526203152,0.05462357172139537,0.10634368691218422,0.051952035016191465,-0.03602607462989312,0.0212771458186311,0.006831675351159149,0.0281901595034211,-0.00829436297480375,-0.11927790802107938,0.12233363653637652,0.027979011527707348,0.035154877046354144,-0.004503091418234716,0.07843356880666379,0.003042583298266521,0.15557174261105672,0.030419354837654972,0.11569467178984762,0.01919203397485684,0.06299130171252414,-0.04188423080830393,0.02425956381731311,0.006358049398427518,0.016774183985078482,0.0947587673708721,-0.03343404505405374,0.14769887686634678,0.18227585456512196,0.03543895864701931,0.007481963060913388,-0.13115698408970897,0.12984709776701017
FH06,-0.023953875091503665,0.04597654373308609,-0.015303765463812728,-0.08120687096041736,-0.11175288594962579,-0.0046732660569822155,-0.04262205243770851,-0.03344158689261681,-0.04262118965737947,9.242837255219663e-05,-0.08046264603993446,0.0853617583316627,0.00020405215851972488,0.07016519034361571,-0.07027400425532383,-0.11134780397939582,-0.06732806877359422,0.03415723827022483,0.11755721832370876,-0.023760151233079802,0.16850522942774782,0.12573382558835966,0.13166259497874758,-0.033287774080920894,0.05155004572832229,-0.07511780403534062,-0.17368038064328803,-0.1197558872400537,-0.06616308634827155,-0.041426694629898744,0.12182458547971266,0.12689906667388456,0.02324510198655358,0.011006852301190754,-0.01575925740818861,-0.09791063810187048,0.1438317592810468,-0.030238858686233275
FH07,-0.09637492050948702,0.09837988561694495,0.044193190639396744,-0.004829433590476245,0.024545166079843198,-0.06498388931413981,-0.04111762679821971,0.031909203756953636,0.039652967300527336,-0.015592359666579255,0.03043848073556232,-0.01851525409761175,-0.029901420269609843,0.04758325139676109,-0.055762797235999174,-0.0446325230733818,-0.03606943223791764,0.01821466450236519,-0.043855286778900056,0.1667613817910982,0.04456504789862427,0.05425833510299833,-0.12898332777122154,0.09976652790003755,0.07205975217564796,-9.151067365799501e-05,-0.03255056564874095,0.06733628253461246,0.010753797205610672,-0.009632426592832548,0.037542932134959565,0.0038843520056683497,0.0565367922854028,0.02056748004958606,0.07476603450964761,0.04665208562413449,0.02570744217581478,0.00989791860231932
FH08,-0.09847479374342546,0.11174293345912455,0.05873712923161539,-0.05739457022028092,0.036052853827882696,-0.0010958073235024638,0.029071959539630297,0.03021852362515028,0.006782496812053175,-0.06261422869848458,0.00717552650376983,0.016118751383358977,-0.0200843862525383,-0.03322417653670468,-0.039563563263753515,-0.016677693992306983,0.007564191135916754,0.03467125317411724,0.06155406064819748,-0.01566255276378611,-0.10774948468532877,-0.03189797970556163,-0.08588251457948723,-0.009623284596029057,0.08925870851127891,-0.0705529672176059,-0.06360586420399218,0.038116533194162645,-0.027018342778117276,0.0869998270308988,0.04848900377058845,0.027762721066176423,-0.015145655392643858,-0.10009257294480102,-0.013243734375310389,-0.05943393105028841,0.0677986605884012,0.04611739517888312
FH09,-0.11117987320575576,0.07484683459623286,0.006411227258576344,-0.08683570511935808,0.05348175176071376,0.004039711990350723,0.021012917441750063,0.04488290286518085,0.013990273476690952,-0.040699072042845924,-0.0027017061198047693,-0.07016887655420932,-0.0099914233114502,-0.05901059151941508,-0.009063647632225792,-0.005083430556367002,0.02108398777145245,0.05464437272598347,0.054230805273620404,0.024756423122069975,-0.05495827486313841,0.01631734876199221,-0.030036572084377024,-0.013330333821691678,0.1071433447744233,0.018114048594492015,0.034606916357106464,0.030977573940296665,0.04945812228333273,-0.07160573018624247,-0.10604604423265251,-0.03571171639432216,0.06317184978700023,-0.12341148684773583,-0.050084653060073675,0.06164242092809621,-0.13596069681294207,-0.09050029927879445
FH10L,-0.007384080668895831,0.06555190100951105,-0.080028839799709,0.019086343902678448,-0.13240979767613736,-0.07332659388848924,0.039081467292295495,0.17177128438799386,0.055050392017157446,-0.036393874887541526,0.04160643156673187,-0.07504429216113642,0.021047597290599792,0.09304476903064757,-0.012068739285483377,-0.0800682030750551,0.056386207820991234,0.0405005302277323,0.05117762794681541,0.009681054972970964,-0.003656897301130264,-0.11527977703663934,-0.10198326270568749,0.061461399329229977,0.02107585135614805,-0.028165937793737078,-0.01189260519796331,-0.007101202601660073,0.019542977773972438,-0.024818541314609904,-0.06788026769408533,0.01190161248365666,-0.12726031542553165,0.05310411777511405,-0.09652595653919123,-0.1103760266569589,0.03592972954362301,0.04386229515965138
